X,Y,Z,phie,vsh,kv,sw,Facies,WellID
6900.00000,11620.00000,63.12500,0.24433,0.23791,118.07651,0.25919,1.00000,37.00000
6900.00000,11620.00000,63.62500,0.26385,0.21327,255.33279,0.13018,1.00000,37.00000
6900.00000,11620.00000,66.62500,0.25598,0.17444,162.74644,0.30694,1.00000,37.00000
5300.00000,980.00000,49.12500,0.16562,0.31061,6.23776,0.74539,1.00000,40.00000
5300.00000,980.00000,49.62500,0.12295,0.38399,0.58178,0.97813,1.00000,40.00000
5300.00000,980.00000,50.12500,0.21269,0.32525,25.11716,0.75384,1.00000,40.00000
5300.00000,980.00000,50.62500,0.21462,0.42852,24.59919,0.51237,1.00000,40.00000
5300.00000,980.00000,51.12500,0.21917,0.37840,39.01866,0.40937,1.00000,40.00000
5300.00000,980.00000,52.62500,0.24362,0.28442,87.51708,0.30851,1.00000,40.00000
4300.00000,11060.00000,20.75000,0.26004,0.33138,168.52276,0.20144,1.00000,41.00000
4300.00000,11060.00000,21.75000,0.20800,0.46852,21.62682,0.25587,1.00000,41.00000
4300.00000,11060.00000,22.25000,0.18754,0.49722,6.53465,0.29489,1.00000,41.00000
4300.00000,11060.00000,38.25000,0.21920,0.35284,42.03627,0.36483,1.00000,41.00000
4300.00000,11060.00000,39.75000,0.22588,0.30062,83.82376,0.32402,1.00000,41.00000
4300.00000,11060.00000,47.75000,0.21637,0.31373,42.52484,0.32494,1.00000,41.00000
4300.00000,11060.00000,48.25000,0.20833,0.32392,26.62135,0.28008,1.00000,41.00000
4300.00000,11060.00000,48.75000,0.21912,0.32564,41.97644,0.13811,1.00000,41.00000
5100.00000,3780.00000,38.75000,0.28540,0.13195,384.18708,0.55040,1.00000,42.00000
3500.00000,13020.00000,51.37500,0.21942,0.25801,40.05474,0.68096,1.00000,44.00000
5500.00000,9380.00000,33.62500,0.24127,0.22248,120.41881,0.58179,1.00000,48.00000
5500.00000,9380.00000,34.12500,0.24504,0.22607,159.97891,0.48258,1.00000,48.00000
5500.00000,9380.00000,35.12500,0.20840,0.27087,134.97016,0.76884,1.00000,48.00000
5500.00000,9380.00000,35.62500,0.22943,0.27607,211.98715,0.74897,1.00000,48.00000
5500.00000,9380.00000,37.12500,0.25675,0.26322,187.35773,0.44958,1.00000,48.00000
9300.00000,3220.00000,35.37500,0.25345,0.32358,163.31061,0.35575,1.00000,50.00000
9300.00000,3220.00000,54.37500,0.20097,0.32509,17.07538,0.45657,1.00000,50.00000
1300.00000,3500.00000,41.25000,0.22454,0.29663,24.53154,0.57823,1.00000,55.00000
1300.00000,3500.00000,41.75000,0.15190,0.34433,1.00210,0.96840,1.00000,55.00000
1300.00000,3500.00000,42.25000,0.14689,0.34663,0.96350,0.97391,1.00000,55.00000
1300.00000,3500.00000,42.75000,0.12769,0.41049,0.53910,0.99309,1.00000,55.00000
1300.00000,3500.00000,45.75000,0.20180,0.27192,31.85700,0.62707,1.00000,55.00000
1300.00000,3500.00000,58.75000,0.30065,0.11329,670.70419,0.23942,1.00000,55.00000
1300.00000,3500.00000,59.25000,0.28071,0.13642,386.59863,0.34564,1.00000,55.00000
900.00000,7700.00000,29.37500,0.35516,0.17723,4324.49380,0.34077,1.00000,56.00000
900.00000,7700.00000,30.87500,0.25960,0.27864,246.99245,0.31732,1.00000,56.00000
900.00000,7700.00000,31.37500,0.26369,0.27751,273.36507,0.32279,1.00000,56.00000
900.00000,7700.00000,34.37500,0.29983,0.17346,464.87891,0.23048,1.00000,56.00000
900.00000,7700.00000,34.87500,0.26056,0.27350,192.78800,0.19210,1.00000,56.00000
900.00000,7700.00000,35.37500,0.22947,0.31070,49.67087,0.29041,1.00000,56.00000
900.00000,7700.00000,41.87500,0.27825,0.23895,454.85623,0.23062,1.00000,56.00000
900.00000,7700.00000,42.37500,0.28586,0.22179,577.25636,0.15808,1.00000,56.00000
900.00000,7700.00000,42.87500,0.32053,0.12014,2528.61580,0.15719,1.00000,56.00000
900.00000,7700.00000,43.87500,0.33726,0.03038,4804.65640,0.18987,1.00000,56.00000
900.00000,7700.00000,44.37500,0.31049,0.05972,818.57442,0.20584,1.00000,56.00000
900.00000,7700.00000,44.87500,0.29234,0.16129,482.52671,0.20939,1.00000,56.00000
900.00000,7700.00000,45.37500,0.33233,0.08754,742.04296,0.14557,1.00000,56.00000
900.00000,7700.00000,45.87500,0.23133,0.27516,53.30043,0.17599,1.00000,56.00000
900.00000,7700.00000,51.37500,0.26869,0.14618,278.60526,0.49945,1.00000,56.00000
900.00000,7700.00000,51.87500,0.28502,0.14332,371.62055,0.47466,1.00000,56.00000
900.00000,7700.00000,72.37500,0.23930,0.31361,149.27237,0.30936,1.00000,56.00000
900.00000,7700.00000,75.37500,0.29391,0.15801,453.02228,0.52500,1.00000,56.00000
900.00000,7700.00000,75.87500,0.29366,0.13515,419.39693,0.39377,1.00000,56.00000
5700.00000,2100.00000,45.87500,0.21472,0.25466,42.12050,0.32781,1.00000,58.00000
5700.00000,2100.00000,48.37500,0.29574,0.07774,651.12042,0.31756,1.00000,58.00000
8100.00000,8540.00000,44.00000,0.24025,0.30836,107.06787,0.24415,1.00000,59.00000
8100.00000,8540.00000,44.50000,0.22224,0.33827,48.93212,0.29643,1.00000,59.00000
8100.00000,8540.00000,45.00000,0.21240,0.39439,49.84198,0.27720,1.00000,59.00000
8100.00000,8540.00000,45.50000,0.21570,0.38003,36.39694,0.27520,1.00000,59.00000
8100.00000,8540.00000,52.00000,0.24145,0.28810,112.00163,0.36593,1.00000,59.00000
8100.00000,8540.00000,52.50000,0.22786,0.30734,60.30478,0.67419,1.00000,59.00000
7900.00000,6580.00000,35.50000,0.25986,0.23928,197.14597,0.26067,1.00000,60.00000
7900.00000,6580.00000,36.00000,0.24851,0.23937,136.05712,0.24821,1.00000,60.00000
7900.00000,6580.00000,36.50000,0.21553,0.35402,40.07537,0.26766,1.00000,60.00000
7900.00000,6580.00000,37.00000,0.23431,0.26733,79.42614,0.32625,1.00000,60.00000
7900.00000,6580.00000,37.50000,0.18831,0.35289,7.20899,0.35076,1.00000,60.00000
9300.00000,13580.00000,34.62500,0.22191,0.29224,465.20599,0.35811,1.00000,63.00000
9300.00000,13580.00000,35.12500,0.26074,0.26816,406.09257,0.23259,1.00000,63.00000
9300.00000,13580.00000,35.62500,0.25732,0.27291,313.97096,0.29257,1.00000,63.00000
9300.00000,13580.00000,38.12500,0.17821,0.42210,4.55119,0.35823,1.00000,63.00000
9300.00000,13580.00000,38.62500,0.16751,0.43726,2.21611,0.40720,1.00000,63.00000
9300.00000,13580.00000,62.12500,0.21195,0.33816,149.19112,0.30627,1.00000,63.00000
7700.00000,11620.00000,37.25000,0.26947,0.19703,306.86761,0.45681,1.00000,65.00000
7700.00000,11620.00000,37.75000,0.26198,0.23627,297.21483,0.44477,1.00000,65.00000
7700.00000,11620.00000,62.75000,0.22340,0.27627,60.52436,0.34446,1.00000,65.00000
7700.00000,11620.00000,63.25000,0.24594,0.22684,163.08606,0.24359,1.00000,65.00000
4500.00000,13300.00000,55.25000,0.21695,0.28226,42.85284,0.44544,1.00000,66.00000
4500.00000,13300.00000,55.75000,0.22509,0.28179,56.24164,0.43250,1.00000,66.00000
4500.00000,13300.00000,56.25000,0.23973,0.24965,105.74822,0.52332,1.00000,66.00000
1300.00000,5180.00000,41.00000,0.28612,0.16001,453.37131,0.11732,1.00000,68.00000
1300.00000,5180.00000,43.00000,0.20646,0.29526,35.43559,0.35791,1.00000,68.00000
9500.00000,7140.00000,50.25000,0.24126,0.27145,90.73965,0.25551,1.00000,69.00000
5900.00000,4340.00000,39.37500,0.23419,0.29224,76.72431,0.38439,1.00000,70.00000
5900.00000,4340.00000,39.87500,0.21924,0.31460,76.44200,0.36192,1.00000,70.00000
1300.00000,11340.00000,29.25000,0.26232,0.26758,309.71376,0.31738,1.00000,71.00000
1300.00000,11340.00000,37.25000,0.27066,0.16899,308.42293,0.40906,1.00000,71.00000
1300.00000,11340.00000,45.75000,0.29197,0.13514,473.37356,0.29903,1.00000,71.00000
1300.00000,11340.00000,47.25000,0.23866,0.27711,30.36789,0.52124,1.00000,71.00000
1300.00000,11340.00000,47.75000,0.22194,0.28892,23.91001,0.51130,1.00000,71.00000
1300.00000,11340.00000,56.75000,0.27463,0.21773,387.99300,0.41913,1.00000,71.00000
2500.00000,1260.00000,54.37500,0.35176,0.20784,193.61026,0.25198,1.00000,77.00000
2500.00000,1260.00000,56.87500,0.22835,0.28051,65.75415,0.24347,1.00000,77.00000
2500.00000,1260.00000,57.37500,0.25349,0.25626,213.11825,0.14879,1.00000,77.00000
2500.00000,1260.00000,57.87500,0.19581,0.41454,33.93414,0.29630,1.00000,77.00000
2500.00000,1260.00000,58.37500,0.17010,0.46925,6.20755,0.31531,1.00000,77.00000
9100.00000,2940.00000,32.12500,0.23232,0.24727,144.67885,0.40549,1.00000,78.00000
9100.00000,2940.00000,35.62500,0.24959,0.20918,119.00953,0.39213,1.00000,78.00000
9100.00000,2940.00000,37.62500,0.15607,0.49415,2.21055,0.66001,1.00000,78.00000
9100.00000,2940.00000,38.62500,0.16654,0.42526,3.53813,0.57804,1.00000,78.00000
9100.00000,2940.00000,39.12500,0.17728,0.34268,5.86538,0.40263,1.00000,78.00000
9100.00000,2940.00000,49.62500,0.28450,0.15891,38.14240,0.48729,1.00000,78.00000
9100.00000,2940.00000,52.12500,0.25634,0.11344,162.96903,0.43924,1.00000,78.00000
5900.00000,8540.00000,47.62500,0.31395,0.09739,2887.95440,0.29854,1.00000,79.00000
5900.00000,8540.00000,48.12500,0.29570,0.11844,671.14272,0.29615,1.00000,79.00000
3900.00000,14140.00000,33.12500,0.16733,0.46088,2.02992,0.32744,1.00000,80.00000
3900.00000,14140.00000,33.62500,0.21161,0.39225,29.74898,0.29282,1.00000,80.00000
3900.00000,14140.00000,34.12500,0.20648,0.44632,21.16921,0.25924,1.00000,80.00000
3900.00000,14140.00000,38.12500,0.24529,0.24514,136.17386,0.40059,1.00000,80.00000
3900.00000,14140.00000,38.62500,0.27101,0.20346,297.91366,0.43081,1.00000,80.00000
3900.00000,14140.00000,39.12500,0.26005,0.25226,210.48337,0.29657,1.00000,80.00000
3900.00000,14140.00000,47.12500,0.17849,0.34520,6.25852,0.36136,1.00000,80.00000
3900.00000,14140.00000,47.62500,0.17011,0.41318,3.37312,0.39923,1.00000,80.00000
3900.00000,14140.00000,48.12500,0.19661,0.34266,29.74233,0.49741,1.00000,80.00000
5300.00000,4340.00000,39.50000,0.21472,0.26410,31.31730,0.33601,1.00000,81.00000
2900.00000,10220.00000,30.12500,0.23826,0.32563,162.93496,0.23527,1.00000,83.00000
2900.00000,10220.00000,40.12500,0.25322,0.23899,235.37369,0.35071,1.00000,83.00000
2900.00000,10220.00000,40.62500,0.23668,0.28994,94.93529,0.38132,1.00000,83.00000
1900.00000,2100.00000,51.75000,0.22559,0.22773,104.66093,0.36549,1.00000,84.00000
1900.00000,2100.00000,52.25000,0.19615,0.31328,22.14202,0.37519,1.00000,84.00000
9900.00000,4060.00000,48.25000,0.32607,0.08296,960.79415,0.13914,1.00000,86.00000
